Common Name,Scientific Name,Alternate Names,Species Group,Care Level,Average Adult Size,Maximum Adult Size,Lifespan,pH,Temperature,Hardness (GH),Swimming Level,Overall Aggressiveness,Aggressiveness Own Species,Aggressiveness Other Species,Ideal Number,M:F Ratio,Live Plants,Diet Type,Food Preferences,Substrate,Light,Water Current,Decorations,Minimum Tank Size
Red Goldflake Shrimp,Caridina sp. Red Goldflake,,Invertebrates,Easy,1.0 inches / 25 mm,1.0 inches / 25 mm,1 - 2 years,7.0 - 8.5,78 - 85 F / 26 - 29 C,6 - 9 dGH,Bottom,Peaceful,Peaceful,Peaceful,Any,1:1,Yes,Omnivore,"Shrimp, algae, veggies",Any,Moderate,Moderate,High,5 gallons / 18 liters
Red Hump Eartheater,Geophagus steindachneri,,American cichlids,Moderate,5.0 inches / 127 mm,6.0 inches / 152 mm,10 years,6.0 - 7.5,68 - 86 F / 20 - 30 C,2 - 12 dGH,Mid,Semi aggressive,Semi aggressive,Semi aggressive,1,1:3,Yes,Omnivore,"Flakes, live, frozen",Sand,Moderate,Moderate,Moderate,40 gallons / 151 liters
Red Peacock,Aulonocara hansbaenschi,"Red Shoulder Peacock,  Firebird Cichlid",African cichlids,Easy,5.0 inches / 127 mm,5.0 inches / 127 mm,6 - 10 years,7.4 - 9.0,75 - 84 F / 24 - 29 C,10 - 15 dGH,Mid,Semi aggressive,Semi aggressive,Semi aggressive,1,1:4,Yes,Omnivore,"Flakes, pellets, live, frozen, veggies",Sand,Low,Moderate,Moderate,29 gallons / 109 liters
Red Phantom Tetra,Hyphessobrycon sweglesi,,Tetras,Easy,1.4 inches / 35 mm,1.5 inches / 38 mm,3 - 5 years,4.5 - 7.5,68 - 82 F / 20 - 28 C,1 - 12 dGH,Mid,Peaceful,Peaceful,Peaceful,6+,1:1,Yes,Omnivore,Flakes,Any,Moderate,Moderate,Moderate,10 gallons / 37 liters
Rainbow Snakehead,Channa bleheri,,Snakehead,Moderate,7.0 inches / 177 mm,7.0 inches / 177 mm,8 - 12 years,6.0 - 8.0,57 - 82 F / 14 - 28 C,2 - 20 dGH,Mid,Aggressive,Aggressive,Aggressive,1,1:1,Yes,Carnivore,"Live, frozen",Any,Low,Moderate,Moderate,55 gallons / 208 liters
Ramshorn Snail,Planorbidae,,Invertebrates,Easy,1.0 inches / 25 mm,1.0 inches / 25 mm,1 - 3 years,7.0 - 7.5,70 - 78 F / 21 - 26 C,5 - 15 dGH,Bottom,Peaceful,Peaceful,Peaceful,Any,1:1,Yes,Omnivore,"Algae, veggies",Any,Moderate,Moderate,Moderate,5 gallons / 18 liters
Ramu Rainbowfish,Glossolepis ramuensis,,Rainbowfish,Easy,3.0 inches / 76 mm,3.0 inches / 76 mm,5 years,7.3 - 7.8,77 - 82 F / 25 - 28 C,5 - 13 dGH,Top,Peaceful,Peaceful,Peaceful,6+,1:1,Yes,Omnivore,"Flakes, live, frozen",Any,Moderate,Moderate,Moderate,20 gallons / 75 liters
Raphael Catfish,Platydoras costatus,Talking Catfish,Misc catfish,Easy,6.0 inches / 152 mm,9.5 inches / 241 mm,10 years,6.0 - 7.5,75 - 86 F / 24 - 30 C,4 - 20 dGH,Bottom,Peaceful,Peaceful,Peaceful,Any,1:1,Yes,Omnivore,"Pellets, live, frozen",Sand,Low,Low,Moderate,29 gallons / 109 liters
Red Bellied Pacu,Piaractus brachypomus,,American cichlids,Moderate,24.0 inches / 609 mm,35.0 inches / 889 mm,25 years,4.8 - 7.5,72 - 82 F / 22 - 28 C,0 - 15 dGH,Mid,Peaceful,Peaceful,Peaceful,1,1:1,No,Omnivore,"Pellets, veggies, fruit",Any,Low,Moderate,Low,500 gallons / 1892 liters
Red Bellied Piranha,Pygocentrus nattereri,,Misc,Difficult,12.0 inches / 304 mm,13.0 inches / 330 mm,10 - 20 years,6.5 - 7.5,74 - 82 F / 23 - 28 C,4 - 18 dGH,Mid,Aggressive,Semi aggressive,Aggressive,4+,1:1,Yes,Omnivore,"Live, frozen",Gravel,Low,Moderate,Moderate,55 gallons / 208 liters
Red Breasted Acara,Laetacara dorsigera,,American cichlids,Moderate,4.0 inches / 101 mm,4.0 inches / 101 mm,5 - 8 years,6.0 - 7.5,70 - 79 F / 21 - 26 C,3 - 18 dGH,Bottom,Peaceful,Peaceful,Peaceful,Any,1:1,Yes,Omnivore,"Live, frozen",Any,Moderate,Low,Moderate,20 gallons / 75 liters
Red Devil Cichlid,Amphilophus labiatus,,American cichlids,Difficult,13.0 inches / 330 mm,15.0 inches / 381 mm,10 - 15 years,6.0 - 8.0,71 - 79 F / 22 - 26 C,5 - 20 dGH,Mid,Aggressive,Aggressive,Aggressive,1,1:1,No,Omnivore,"Flakes, pellets, live, frozen, veggies",Sand,Moderate,Moderate,Moderate,75 gallons / 283 liters
Pseudotropheus Flavus,Pseudotropheus flavus,"Dinghani",African cichlids,Moderate,3.6 inches / 91 mm,3.6 inches / 91 mm,10 years,7.6 - 8.8,75 - 82 F / 24 - 28 C,10 - 25 dGH,Mid,Semi aggressive,Semi aggressive,Semi aggressive,Any,1:3,Yes,Omnivore,"Flakes, veggies, algae",Sand,Moderate,Moderate,Moderate,29 gallons / 109 liters
Pseudotropheus Saulosi,Pseudotropheus Saulosi,Saulos’s Mbuna,African cichlids,Moderate,3.5 inches / 88 mm,3.5 inches / 88 mm,10 years,7.6 - 8.8,75 - 82 F / 24 - 28 C,10 - 25 dGH,Mid,Semi aggressive,Semi aggressive,Semi aggressive,Any,1:3,Yes,Omnivore,"Flakes, veggies, algae",Sand,Moderate,Moderate,Moderate,29 gallons / 109 liters
Purple Spotted Gudgeon,Morgurnda adspersa,,Misc,Moderate,6.0 inches / 152 mm,6.8 inches / 172 mm,3 - 5 years,7.0 - 7.5,60 - 79 F / 16 - 26 C,10 - 20 dGH,Bottom,Aggressive,Semi aggressive,Aggressive,Any,1:1,Yes,Carnivore,"Live, frozen",Any,Low,Low,Moderate,29 gallons / 109 liters
Purple Zebra Shrimp,Potamalpheops sp.,,Invertebrates,Easy,0.25 inches / 6 mm,0.25 inches / 6 mm,1 - 3 years,6.6 - 7.4,73 - 82 F / 23 - 28 C,1 - 15 dGH,Bottom,Peaceful,Peaceful,Peaceful,Any,1:1,Yes,Omnivore,"Algae, veggies, shrimp",Any,Moderate,Moderate,Moderate,5 gallons / 18 liters
Pygmy Cory,Corydoras pygmaeus,,Cory,Easy,1.2 inches / 30 mm,1.2 inches / 30 mm,5 years,6.4 - 7.4,72 - 79 F / 22 - 26 C,2 - 15 dGH,Bottom,Peaceful,Peaceful,Peaceful,5+,1:1,Yes,Omnivore,"Pellets, live, frozen",Sand,Low,Moderate,Moderate,10 gallons / 37 liters
Pygmy Rainbowfish,Melanotaenia pygmaea,,Rainbowfish,Easy,2.0 inches / 50 mm,2.0 inches / 50 mm,5 years,7.5,73 - 82 F / 23 - 28 C,5 - 15 dGH,Top,Peaceful,Peaceful,Peaceful,6+,1:1,Yes,Omnivore,"Flakes, live, frozen",Any,Moderate,Moderate,Moderate,20 gallons / 75 liters
Rainbow Cichlid,Herotilapia multispinosa,,American cichlids,Easy,4.0 inches / 101 mm,7.0 inches / 177 mm,8 years,7.0 - 8.0,72 - 84 F / 22 - 29 C,5 - 20 dGH,Bottom,Peaceful,Peaceful,Peaceful,Any,1:1,Yes,Omnivore,"Flakes, pellets, live, frozen, veggies",Sand,Moderate,Low,Moderate,20 gallons / 75 liters
Rainbow Shark,Epalzeorhynchos frenatum,"Ruby Shark,  Albino Rainbow Shark",Sharks,Moderate,6.0 inches / 152 mm,6.0 inches / 152 mm,6 - 10 years,6.0 - 8.0,68 - 79 F / 20 - 26 C,2 - 15 dGH,Bottom,Semi aggressive,Aggressive,Semi aggressive,1,1:1,Yes,Omnivore,"Live, frozen, algae, veggies",Any,Moderate,Moderate,Moderate,55 gallons / 208 liters
Powder Blue Cichlid,Pseudotropheus socolofi,,African cichlids,Moderate,4.0 inches / 101 mm,4.6 inches / 116 mm,10 years,7.6 - 8.8,75 - 82 F / 24 - 28 C,10 - 25 dGH,Mid,Semi aggressive,Semi aggressive,Semi aggressive,Any,1:3,Yes,Omnivore,"Flakes, veggies, algae",Sand,Moderate,Moderate,Moderate,29 gallons / 109 liters
Prehistoric Monster Fish,Thalassophryne amazonica,,Misc,Moderate,4.0 inches / 101 mm,6.0 inches / 152 mm,8 - 15 years,6.0 - 7.5,75 - 82 F / 24 - 28 C,0 - 15 dGH,Bottom,Aggressive,Semi aggressive,Aggressive,1,1:1,Yes,Carnivore,Live,Sand,Low,Moderate,Moderate,20 gallons / 75 liters
Pristella Tetra,Pristella maxillaris,X-Ray Tetra,Tetras,Easy,1.8 inches / 45 mm,1.8 inches / 45 mm,4 - 5 years,6.0 - 7.5,72 - 82 F / 22 - 28 C,2 - 20 dGH,Mid,Peaceful,Peaceful,Peaceful,6+,1:1,Yes,Omnivore,"Flakes, live, frozen",Any,Moderate,Moderate,Moderate,10 gallons / 37 liters
Pseudotropheus Acei,Pseudotropheus acei,Acei Cichlid,African cichlids,Moderate,5.0 inches / 127 mm,5.0 inches / 127 mm,8 - 10 years,7.8 - 8.6,75 - 82 F / 24 - 28 C,10 - 25 dGH,Mid,Semi aggressive,Semi aggressive,Semi aggressive,Any,1:3,Yes,Omnivore,"Flakes, veggies, algae",Sand,Moderate,Moderate,Moderate,40 gallons / 151 liters
Pseudotropheus Demasoni,Pseudotropheus demasoni,Demasoni Cichlid,African cichlids,Moderate,3.0 inches / 76 mm,3.0 inches / 76 mm,10 years,7.6 - 8.8,75 - 82 F / 24 - 28 C,10 - 25 dGH,Mid,Aggressive,Aggressive,Aggressive,1,1:3,Yes,Omnivore,"Flakes, veggies, algae",Sand,Moderate,Moderate,Moderate,29 gallons / 109 liters
Pseudotropheus Elongatus,Pseudotropheus elongatus,Elongatus Ornatus,African cichlids,Moderate,5.0 inches / 127 mm,5.4 inches / 137 mm,10 years,7.6 - 8.8,75 - 82 F / 24 - 28 C,10 - 25 dGH,Mid,Aggressive,Aggressive,Aggressive,1,1:3,Yes,Omnivore,"Flakes, veggies, algae",Sand,Moderate,Moderate,Moderate,29 gallons / 109 liters
Pike Cichlid,Crenicichla lepidota,"Two-Spot Pike Cichlid,  Comb Pike Cichlid",American cichlids,Moderate,7.0 inches / 177 mm,7.0 inches / 177 mm,10 years,6.3 - 7.5,73 - 82 F / 23 - 28 C,2 - 12 dGH,Bottom,Aggressive,Aggressive,Aggressive,1,1:1,Yes,Carnivore,"Live, frozen",Any,Low,Moderate,High,29 gallons / 109 liters
Pink Tailed Chalceus,Chalceus macrolepidotus,,Misc,Moderate,10.0 inches / 254 mm,10.0 inches / 254 mm,8 years,6.0 - 7.5,73 - 82 F / 23 - 28 C,5 - 18 dGH,Top,Aggressive,Aggressive,Aggressive,6+,1:1,Yes,Carnivore,"Live, frozen",Any,Moderate,Moderate,Any,75 gallons / 283 liters
Piraiba,Brachyplatystoma filamentosum,,Monster,Difficult,95.0 inches / 2413 mm,95.0 inches / 2413 mm,12 - 25 years,6.0 - 8.0,71 - 82 F / 22 - 28 C,1 - 20 dGH,Bottom,Aggressive,Aggressive,Aggressive,1,1:1,No,Carnivore,"Live, frozen",Any,Moderate,Strong,Low,2000 gallons / 7570 liters
Platinum Hatchet,Thoracocharax stellatus,Spotfin Hatchetfish,Hatchets,Difficult,2.5 inches / 63 mm,3.0 inches / 76 mm,7 years,5.0 - 7.5,68 - 82 F / 20 - 28 C,1 - 12 dGH,Top,Peaceful,Peaceful,Peaceful,6+,1:1,Yes,Carnivore,"Flakes, live, frozen",Any,Moderate,Moderate,Moderate,20 gallons / 75 liters
Platy,Xiphophorus maculatus,,Livebearer,Easy,2.5 inches / 63 mm,3.0 inches / 76 mm,3 years,7.0 - 8.2,68 - 79 F / 20 - 26 C,10 - 30 dGH,Mid,Peaceful,Peaceful,Peaceful,Any,1:2,Yes,Omnivore,"Flakes, pellets, live, frozen, fry_food",Any,Moderate,Moderate,Moderate,10 gallons / 37 liters
Polka Dot Loach,Botia kubotai,"Angelicus Botia,  Marble Loach,  Angelicus Loach,  Burmese Border Loach,  Cloud Botia",Loaches,Moderate,4.5 inches / 114 mm,6.0 inches / 152 mm,8 - 12 years,6.0 - 7.5,72 - 86 F / 22 - 30 C,2 - 10 dGH,Bottom,Peaceful,Peaceful,Peaceful,5+,1:1,Yes,Omnivore,"Pellets, live, frozen, veggies",Sand,Low,Strong,Moderate,29 gallons / 109 liters
Pond Snail,Lymnaea stagnalis,,Invertebrates,Easy,1.0 inches / 25 mm,3.0 inches / 76 mm,1 - 3 years,6.5 - 8.0,32 - 90 F / 0 - 32 C,0 - 30 dGH,Bottom,Peaceful,Peaceful,Peaceful,Any,1:1,Yes,Omnivore,"Algae, veggies, pellets",Any,Moderate,Moderate,Moderate,5 gallons / 18 liters
Penguin Tetra,Thayeria boehlkei,,Tetras,Easy,2.5 inches / 63 mm,3.0 inches / 76 mm,3 - 5 years,5.5 - 8.0,72 - 82 F / 22 - 28 C,0 - 20 dGH,Mid,Peaceful,Peaceful,Peaceful,6+,1:1,Yes,Omnivore,"Flakes, live, frozen",Any,Moderate,Moderate,Moderate,20 gallons / 75 liters
Peppered Cory,Corydoras paleatus,,Cory,Easy,2.5 inches / 63 mm,2.5 inches / 63 mm,5 years,6.0 - 7.0,72 - 79 F / 22 - 26 C,2 - 12 dGH,Bottom,Peaceful,Peaceful,Peaceful,5+,1:1,Yes,Omnivore,"Pellets, live, frozen",Sand,Moderate,Moderate,Moderate,10 gallons / 37 liters
Peppermint Pleco,Parancistrus nudiventris,,Plecos,Moderate,7.0 inches / 177 mm,7.0 inches / 177 mm,8 - 12 years,6.5 - 7.2,73 - 84 F / 23 - 29 C,5 - 15 dGH,Bottom,Peaceful,Aggressive,Peaceful,1,1:1,Yes,Omnivore,"Pellets, algae, veggies, wood",Any,Moderate,Moderate,Moderate,29 gallons / 109 liters
Phuket Loach,Schistura robertsi,,Loaches,Moderate,2.0 inches / 50 mm,2.0 inches / 50 mm,3 - 5 years,6.0 - 8.0,68 - 86 F / 20 - 30 C,2 - 12 dGH,Bottom,Aggressive,Semi aggressive,Aggressive,Any,1:1,Yes,Omnivore,"Pellets, live, frozen",Sand,Moderate,Strong,Moderate,10 gallons / 37 liters
Pictus Catfish,Pimelodus pictus,,Misc catfish,Easy,5.0 inches / 127 mm,5.0 inches / 127 mm,8 - 10 years,5.8 - 6.8,70 - 80 F / 21 - 27 C,1 - 15 dGH,Bottom,Peaceful,Peaceful,Peaceful,6+,1:1,Yes,Omnivore,"Pellets, live, frozen",Sand,Low,Moderate,Moderate,55 gallons / 208 liters
Peacock Eel,Macrognathus siamensis,,Eels,Moderate,12.0 inches / 304 mm,12.0 inches / 304 mm,5 - 10 years,6.0 - 8.0,73 - 82 F / 23 - 28 C,6 - 25 dGH,Bottom,Peaceful,Peaceful,Peaceful,Any,1:1,Yes,Carnivore,"Live, frozen",Sand,Low,Moderate,Moderate,29 gallons / 109 liters
Peacock Gudgeon,Tateurndina Ocellicauda,Peacock Goby,Misc,Easy,3.0 inches / 76 mm,3.0 inches / 76 mm,4 - 5 years,6.0 - 7.8,72 - 79 F / 22 - 26 C,5 - 12 dGH,Mid,Peaceful,Peaceful,Peaceful,Any,1:1,Yes,Omnivore,"Live, frozen",Any,Moderate,Low,High,15 gallons / 56 liters
Pearl Danio,Danio albolineatus,,Danios,Easy,2.5 inches / 63 mm,2.7 inches / 68 mm,5 years,6.1 - 7.9,68 - 77 F / 20 - 25 C,4 - 18 dGH,Bottom,Peaceful,Peaceful,Peaceful,4+,1:1,Yes,Omnivore,Flakes,Any,Moderate,Moderate,Moderate,10 gallons / 37 liters
Pearl Gourami,Trichogaster leerii,,Gouramis,Easy,4.5 inches / 114 mm,5.0 inches / 127 mm,4 - 5 years,5.5 - 8.0,75 - 86 F / 24 - 30 C,2 - 30 dGH,Top,Peaceful,Semi aggressive,Peaceful,Any,1:1,Yes,Omnivore,"Flakes, live, frozen",Any,Moderate,Moderate,Moderate,29 gallons / 109 liters
Pearly Ocellatus,Lamprologus Stappersi,,African cichlids,Moderate,2.5 inches / 63 mm,2.5 inches / 63 mm,3 - 5 years,7.5 - 9.0,73 - 81 F / 23 - 27 C,8 - 25 dGH,Bottom,Semi aggressive,Aggressive,Semi aggressive,1,1:2,Yes,Omnivore,"Live, frozen",Sand,Moderate,Moderate,Low,10 gallons / 37 liters
Parrot Cichlid,Hoplarchus psittacus,,American cichlids,Easy,12.0 inches / 304 mm,18.0 inches / 457 mm,10 years,5.5 - 6.5,79 - 86 F / 26 - 30 C,2 - 12 dGH,Mid,Semi aggressive,Peaceful,Aggressive,Any,1:1,Yes,Omnivore,"Flakes, pellets, live, frozen",Any,Low,Moderate,Moderate,75 gallons / 283 liters
Pastel Cichlid,Amphilophus alfari,,American cichlids,Moderate,8.0 inches / 203 mm,8.5 inches / 215 mm,8 years,6.6 - 7.4,73 - 81 F / 23 - 27 C,4 - 16 dGH,Bottom,Aggressive,Peaceful,Aggressive,Any,1:1,No,Omnivore,"Flakes, pellets, live, frozen",Sand,Moderate,Moderate,Moderate,55 gallons / 208 liters
Payara,Hydrolycus scomberoides,Sabretooth Tetra,Monster,Difficult,46.0 inches / 1168 mm,46.0 inches / 1168 mm,2 years,6.0 - 8.0,75 - 82 F / 24 - 28 C,2 - 25 dGH,Mid,Aggressive,Aggressive,Aggressive,1,1:1,Yes,Carnivore,Live,Any,Moderate,Strong,Any,500 gallons / 1892 liters
Paradise Fish,Macropodus opercularis,,Gouramis,Moderate,2.5 inches / 63 mm,3.0 inches / 76 mm,6 years,5.8 - 8.0,61 - 79 F / 16 - 26 C,5 - 20 dGH,Mid,Semi aggressive,Aggressive,Semi aggressive,1,1:2,Yes,Omnivore,"Flakes, live, frozen",Any,Moderate,Moderate,Moderate,29 gallons / 109 liters
Parkinson Rainbowfish,Melanotaenia parkinsoni,,Rainbowfish,Easy,4.0 inches / 101 mm,5.0 inches / 127 mm,5 - 7 years,6.5 - 8.5,70 - 79 F / 21 - 26 C,8 - 25 dGH,Top,Peaceful,Peaceful,Peaceful,6+,1:1,Yes,Omnivore,"Flakes, live, frozen",Any,Moderate,Moderate,Moderate,29 gallons / 109 liters
Paroon Shark,Pangasius sanitwongsei,,Monster,Difficult,48.0 inches / 1219 mm,100.0 inches / 2540 mm,20 years,6.5 - 7.5,75 - 81 F / 24 - 27 C,2 - 30 dGH,Mid,Aggressive,Semi aggressive,Aggressive,1,1:1,Yes,Omnivore,Live,Any,Moderate,Moderate,Moderate,1500 gallons / 5677 liters
Panda Dwarf Cichlid,Apistogramma nijsseni,,American cichlids,Moderate,3.0 inches / 76 mm,3.0 inches / 76 mm,6 years,5.0 - 7.0,72 - 84 F / 22 - 29 C,0 - 12 dGH,Bottom,Semi aggressive,Peaceful,Peaceful,Any,1:3,Yes,Carnivore,"Live, frozen",Any,Low,Low,High,10 gallons / 37 liters
Panda Garra,Garra flavatra,,Loaches,Moderate,3.5 inches / 88 mm,3.5 inches / 88 mm,5 - 8 years,6.5 - 7.5,72 - 81 F / 22 - 27 C,2 - 12 dGH,Bottom,Peaceful,Semi aggressive,Peaceful,3+,1:1,Yes,Omnivore,"Live, frozen, algae, veggies",Any,Moderate,Moderate,Moderate,20 gallons / 75 liters
Panda Tetra,Aphyocharax paraguayensis,,Tetras,Easy,1.5 inches / 38 mm,1.5 inches / 38 mm,2 - 5 years,6.0 - 7.5,71 - 79 F / 22 - 26 C,5 - 15 dGH,Top,Peaceful,Peaceful,Peaceful,6+,1:1,Yes,Omnivore,"Flakes, live, frozen",Any,Low,Moderate,Moderate,10 gallons / 37 liters
Panda Cory,Corydoras panda,,Cory,Easy,2.0 inches / 50 mm,2.0 inches / 50 mm,5 years,6.0 - 7.4,72 - 77 F / 22 - 25 C,1 - 12 dGH,Bottom,Peaceful,Peaceful,Peaceful,5+,1:1,Yes,Omnivore,"Pellets, live, frozen",Sand,Moderate,Moderate,Moderate,10 gallons / 37 liters
Pacific Blue Eye,Pseudomugil signifer,,Rainbowfish,Easy,2.0 inches / 50 mm,2.7 inches / 68 mm,3 years,6.5 - 7.5,68 - 79 F / 20 - 26 C,5 - 15 dGH,Mid,Peaceful,Peaceful,Peaceful,8+,1:1,Yes,Omnivore,"Flakes, live, frozen",Any,Moderate,Moderate,Moderate,10 gallons / 37 liters
Palmas Bichir,Polypterus palmas palmas,,Bichir,Moderate,13.0 inches / 330 mm,13.0 inches / 330 mm,10 - 15 years,6.0 - 7.0,77 - 82 F / 25 - 28 C,5 - 15 dGH,Bottom,Semi aggressive,Semi aggressive,Semi aggressive,Any,1:1,Yes,Carnivore,"Pellets, live, frozen",Sand,Low,Moderate,Moderate,75 gallons / 283 liters
Orange Delight Shrimp,Caridina sp. Orange Delight,,Invertebrates,Easy,1.0 inches / 25 mm,1.0 inches / 25 mm,1 - 2 years,7.0 - 8.5,78 - 85 F / 26 - 29 C,0 - 10 dGH,Bottom,Peaceful,Peaceful,Peaceful,Any,1:1,Yes,Omnivore,"Shrimp, algae, veggies",Any,Moderate,Moderate,High,5 gallons / 18 liters
Orangespotted Snakehead,Channa aurantimaculata,Golden Cobra Snakehead,Snakehead,Difficult,15.0 inches / 381 mm,15.0 inches / 381 mm,8 - 12 years,6.0 - 8.0,50 - 82 F / 10 - 28 C,2 - 20 dGH,Mid,Aggressive,Aggressive,Aggressive,1,1:1,Yes,Carnivore,"Live, frozen",Any,Low,Moderate,Moderate,125 gallons / 473 liters
Ornate Bichir,Polypterus ornatipinnis,,Bichir,Moderate,18.0 inches / 457 mm,24.0 inches / 609 mm,10 - 15 years,6.2 - 7.8,77 - 83 F / 25 - 28 C,5 - 20 dGH,Bottom,Semi aggressive,Semi aggressive,Semi aggressive,Any,1:1,Yes,Carnivore,"Pellets, live, frozen",Sand,Low,Moderate,Moderate,150 gallons / 567 liters
Ornate Rainbowfish,Rhadinocentrus ornatus,,Rainbowfish,Moderate,2.0 inches / 50 mm,2.0 inches / 50 mm,5 years,5.4 - 6.5,68 - 82 F / 20 - 28 C,1 - 10 dGH,Top,Peaceful,Peaceful,Peaceful,6+,1:1,Yes,Omnivore,"Flakes, live, frozen",Any,Moderate,Moderate,Moderate,10 gallons / 37 liters
Oscar,Astronotus ocellatus,Albino Oscar,American cichlids,Moderate,12.0 inches / 304 mm,14.0 inches / 355 mm,10 - 18 years,6.0 - 7.5,72 - 86 F / 22 - 30 C,5 - 19 dGH,Mid,Aggressive,Semi aggressive,Aggressive,1,1:1,Yes,Omnivore,"Pellets, live, frozen",Sand,Moderate,Moderate,Low,75 gallons / 283 liters
Oto Catfish,Otocinclus vittatus,"Otocinclus (Common),  Common Otocinclus",Misc catfish,Moderate,1.5 inches / 38 mm,1.5 inches / 38 mm,3 - 5 years,5.5 - 7.5,69 - 79 F / 21 - 26 C,6 - 10 dGH,Bottom,Peaceful,Peaceful,Peaceful,3+,1:1,Yes,Herbivore,"Algae, veggies, pellets",Any,Moderate,Moderate,Moderate,10 gallons / 37 liters
New Guinea Tiger Perch,Datnioides campbelli,New Guinea Tigerfish,Datnoid,Moderate,14.0 inches / 355 mm,14.0 inches / 355 mm,5 - 8 years,7.5 - 9.0,68 - 82 F / 20 - 28 C,15 - 30 dGH,Mid,Aggressive,Aggressive,Aggressive,1,1:1,Yes,Carnivore,"Live, frozen",Any,Moderate,Moderate,Any,125 gallons / 473 liters
Nile Tilapia,Oreochromis niloticus,,Misc,Easy,14.0 inches / 355 mm,24.0 inches / 609 mm,5 - 10 years,6.2 - 8.5,70 - 81 F / 21 - 27 C,10 - 30 dGH,Mid,Peaceful,Semi aggressive,Peaceful,Any,1:1,No,Omnivore,"Flakes, pellets, live, frozen",Any,Moderate,Moderate,Moderate,125 gallons / 473 liters
Ninja Shrimp,Caridina serratirostris,,Invertebrates,Easy,1.0 inches / 25 mm,1.0 inches / 25 mm,1 - 2 years,6.5 - 8.0,72 - 80 F / 22 - 27 C,0 - 10 dGH,Bottom,Peaceful,Peaceful,Peaceful,Any,1:1,Yes,Omnivore,"Shrimp, algae, veggies",Any,Moderate,Moderate,High,5 gallons / 18 liters
Odessa Barb,Puntius ticto,,Barbs,Easy,3.0 inches / 76 mm,3.0 inches / 76 mm,3 - 5 years,6.0 - 7.0,70 - 79 F / 21 - 26 C,4 - 10 dGH,Mid,Peaceful,Peaceful,Peaceful,6+,1:1,Yes,Omnivore,"Flakes, live, frozen",Any,Moderate,Moderate,Moderate,20 gallons / 75 liters
Olga Cory,Corydoras simulatus,Masquerade Cory,Cory,Easy,2.7 inches / 68 mm,2.7 inches / 68 mm,5 years,6.0 - 7.0,68 - 77 F / 20 - 25 C,2 - 12 dGH,Bottom,Peaceful,Peaceful,Peaceful,5+,1:1,Yes,Omnivore,"Pellets, live, frozen",Sand,Moderate,Moderate,Moderate,10 gallons / 37 liters
Oranda Goldfish,Carassius auratus,,Goldfish,Easy,10.0 inches / 254 mm,10.0 inches / 254 mm,10 - 15 years,6.5 - 7.5,65 - 75 F / 18 - 24 C,4 - 20 dGH,Mid,Peaceful,Peaceful,Peaceful,Any,1:1,No,Omnivore,Goldfish,Gravel,Moderate,Moderate,Low,29 gallons / 109 liters
Orange Chromide,Etroplus maculatus,,Misc,Moderate,3.0 inches / 76 mm,3.0 inches / 76 mm,5 - 8 years,7.0 - 8.5,68 - 82 F / 20 - 28 C,10 - 20 dGH,Mid,Peaceful,Semi aggressive,Peaceful,8+,1:1,Yes,Omnivore,"Flakes, pellets, veggies",Any,Moderate,Moderate,Any,29 gallons / 109 liters
Murray River Rainbowfish,Melanotaenia fluviatilis,"Australian Rainbowfish,  Crimson-spotted Rainbowfish",Rainbowfish,Easy,4.0 inches / 101 mm,4.0 inches / 101 mm,5 - 8 years,6.5 - 8.5,70 - 79 F / 21 - 26 C,8 - 25 dGH,Top,Peaceful,Peaceful,Peaceful,6+,1:1,Yes,Omnivore,"Flakes, live, frozen",Any,Moderate,Moderate,Moderate,29 gallons / 109 liters
Mystery Snail,Pomacea cuprina,,Invertebrates,Easy,2.0 inches / 50 mm,3.0 inches / 76 mm,1 years,7.5 - 8.5,68 - 84 F / 20 - 29 C,8 - 18 dGH,Bottom,Peaceful,Peaceful,Peaceful,Any,1:1,Yes,Omnivore,"Algae, veggies, pellets",Any,Moderate,Moderate,Moderate,10 gallons / 37 liters
Nana Rasbora,Microdevario nanus,,Rasboras,Easy,0.5 inches / 12 mm,0.5 inches / 12 mm,3 - 5 years,6.0 - 7.5,68 - 81 F / 20 - 27 C,1 - 12 dGH,Mid,Peaceful,Peaceful,Peaceful,8+,1:1,Yes,Omnivore,"Flakes, live, frozen",Any,Moderate,Moderate,Moderate,5 gallons / 18 liters
Needlenose Gar,Xenentodon cancila,Needlefish,Misc,Moderate,16.0 inches / 406 mm,16.0 inches / 406 mm,3 - 5 years,6.0 - 8.0,71 - 82 F / 22 - 28 C,5 - 20 dGH,Top,Semi aggressive,Semi aggressive,Semi aggressive,3+,1:1,Yes,Carnivore,Live,Any,Low,Low,Moderate,125 gallons / 473 liters
Neolamprologus Similis,Neolamprologus similis,,African cichlids,Moderate,1.8 inches / 45 mm,1.8 inches / 45 mm,5 - 8 years,7.5 - 9.0,73 - 81 F / 23 - 27 C,8 - 25 dGH,Bottom,Semi aggressive,Semi aggressive,Semi aggressive,Any,1:2,Yes,Carnivore,"Live, frozen",Sand,Moderate,Moderate,Moderate,10 gallons / 37 liters
